aX,aY,aZ,gX,gY,gZ
1.098,2.089,-0.972,-39.368,-44.983,75.317
1.448,2.476,-0.947,-76.782,-60.791,63.171
1.745,2.510,-0.611,-124.817,-80.383,18.372
2.043,2.146,-0.061,-164.978,-94.055,-54.565
2.366,1.442,0.599,-184.937,-93.933,-139.099
2.632,0.453,1.264,-192.627,-70.923,-216.370
2.895,-0.717,1.756,-194.458,-26.123,-269.226
3.143,-1.993,2.036,-186.707,27.771,-292.236
3.325,-3.065,2.183,-168.701,78.979,-287.659
3.277,-3.768,2.258,-137.451,125.916,-255.676
3.019,-4.000,2.164,-104.431,167.480,-206.482
2.701,-4.000,1.903,-73.486,206.238,-155.701
2.224,-3.978,1.677,-36.987,234.314,-120.117
1.713,-3.734,1.492,12.390,248.962,-101.074
1.269,-3.455,1.369,70.129,244.507,-91.614
0.965,-3.169,1.365,124.084,222.412,-84.167
0.641,-2.833,1.397,170.532,190.247,-73.181
0.389,-2.471,1.567,207.703,154.846,-58.044
0.120,-2.129,1.928,227.844,118.164,-39.612
-0.146,-1.702,2.257,232.605,88.989,-14.954
-0.310,-1.243,2.531,240.356,74.402,8.484
-0.508,-0.793,2.728,258.240,82.031,22.095
-0.810,-0.316,2.637,285.400,107.178,27.466
-1.085,0.144,2.280,319.031,135.498,25.208
-1.338,0.491,1.798,347.595,152.832,13.428
-1.586,0.724,1.221,365.540,158.203,-3.357
-1.712,0.877,0.630,370.483,145.569,-21.362
-1.738,0.871,0.150,363.281,111.145,-41.992
-1.712,0.875,-0.146,350.098,56.519,-60.974
-1.677,0.956,-0.250,338.867,-8.789,-71.411
-1.590,1.011,-0.140,320.984,-68.848,-73.059
-1.493,1.117,-0.068,285.400,-107.727,-65.491
-1.459,1.310,-0.115,243.652,-130.249,-48.462
-1.438,1.529,-0.256,208.618,-146.118,-28.381
-1.460,1.789,-0.416,176.208,-159.119,-9.277
-1.421,2.081,-0.516,141.235,-170.593,5.798
-1.315,2.351,-0.566,102.783,-186.646,17.334
-1.124,2.605,-0.582,61.584,-207.520,21.973
-0.879,2.804,-0.495,23.010,-229.858,18.005
