aX,aY,aZ,gX,gY,gZ
1.367,-1.007,0.150,86.670,-31.555,33.081
1.522,-0.886,0.160,102.234,-29.480,52.734
1.757,-0.652,0.258,108.093,-21.118,79.895
2.000,-0.369,0.362,108.032,-10.681,106.079
2.211,-0.041,0.447,108.337,4.272,123.535
2.420,0.322,0.415,108.521,27.710,128.906
2.698,0.631,0.308,98.511,52.979,127.869
2.992,0.836,0.249,80.933,73.303,122.925
3.131,1.041,0.338,70.984,91.248,115.906
3.141,1.169,0.477,76.355,114.136,108.765
3.076,1.337,0.661,77.087,125.427,109.802
2.914,1.444,0.808,70.679,142.029,116.455
2.643,1.520,0.916,56.702,165.283,124.573
2.323,1.573,0.945,40.527,190.186,132.507
1.959,1.665,0.898,22.888,209.778,145.752
1.587,1.782,0.822,0.244,225.159,162.842
1.282,2.015,0.734,-30.701,235.291,179.077
1.041,2.275,0.649,-65.247,239.136,187.195
0.858,2.403,0.553,-96.497,238.037,175.659
0.688,2.387,0.432,-116.943,230.347,140.198
0.527,2.203,0.296,-119.934,214.539,88.623
0.367,1.904,0.171,-111.389,191.467,36.194
0.242,1.592,0.091,-103.943,163.086,-2.625
0.167,1.297,0.123,-103.943,131.470,-23.926
0.173,1.041,0.309,-109.192,101.379,-28.503
0.189,0.843,0.531,-115.540,79.651,-22.339
0.169,0.693,0.754,-121.643,66.406,-8.179
0.097,0.554,0.878,-133.850,60.669,14.221
0.029,0.475,0.959,-149.658,65.979,40.039
-0.058,0.379,0.844,-153.198,74.707,61.340
-0.178,0.289,0.607,-145.081,80.994,76.416
-0.293,0.246,0.366,-130.188,79.346,87.891
-0.377,0.267,0.121,-112.854,66.467,100.586
-0.389,0.367,0.029,-105.713,47.302,111.755
-0.403,0.451,0.019,-109.375,20.874,117.310
-0.344,0.505,0.105,-114.441,-1.221,112.427
-0.307,0.524,0.221,-113.770,-22.278,96.802
-0.287,0.516,0.348,-106.384,-36.560,72.144
-0.259,0.492,0.500,-99.304,-38.696,43.762
-0.226,0.394,0.602,-96.924,-36.133,16.357
-0.235,0.250,0.602,-93.262,-32.288,-6.897
-0.270,0.112,0.533,-84.717,-26.611,-24.658
-0.296,-0.027,0.410,-75.928,-22.522,-32.166
-0.326,-0.172,0.305,-73.792,-24.170,-28.381
-0.328,-0.287,0.209,-81.055,-31.311,-17.334
-0.327,-0.346,0.163,-92.041,-41.077,-1.038
-0.294,-0.351,0.135,-101.135,-55.176,15.747
-0.258,-0.312,0.120,-101.379,-70.313,27.588
-0.227,-0.255,0.134,-93.445,-81.848,32.959
-0.184,-0.203,0.150,-83.862,-88.989,30.457
-0.112,-0.161,0.192,-77.820,-94.238,22.217
-0.045,-0.143,0.217,-74.402,-91.980,10.010
-0.012,-0.170,0.215,-70.557,-86.548,-5.005
-0.012,-0.258,0.161,-69.702,-79.712,-20.020
-0.036,-0.385,0.095,-78.552,-71.289,-29.297
-0.041,-0.518,0.021,-96.985,-62.927,-28.015
-0.048,-0.608,-0.049,-117.371,-58.899,-18.433
-0.040,-0.648,-0.096,-129.272,-59.937,-9.094
0.025,-0.658,-0.134,-127.625,-63.354,-6.714
0.078,-0.683,-0.159,-110.535,-68.726,-12.146
0.166,-0.666,-0.197,-83.923,-76.477,-23.437
0.266,-0.611,-0.316,-56.274,-85.022,-40.527
0.293,-0.565,-0.429,-36.255,-92.346,-62.012
0.322,-0.571,-0.495,-28.259,-96.924,-81.970
0.316,-0.654,-0.503,-30.151,-102.783,-95.947
0.330,-0.771,-0.478,-41.138,-106.628,-101.746
0.449,-0.903,-0.371,-56.396,-111.572,-102.539
0.574,-1.084,-0.196,-62.378,-119.324,-102.905
0.708,-1.256,-0.092,-50.415,-125.916,-102.295
0.797,-1.376,-0.121,-24.780,-130.005,-99.487
0.843,-1.373,-0.217,1.221,-129.456,-93.628
0.850,-1.317,-0.324,21.423,-125.671,-82.947
0.765,-1.163,-0.444,32.654,-123.352,-69.702
0.788,-1.080,-0.526,35.034,-123.413,-56.763
0.865,-0.969,-0.531,33.752,-129.944,-61.157
1.017,-0.931,-0.582,40.588,-145.813,-74.829
1.144,-0.988,-0.541,52.185,-159.363,-84.961
1.303,-1.115,-0.399,56.091,-160.339,-85.022
1.479,-1.238,-0.160,52.673,-155.334,-77.393
1.625,-1.315,0.019,53.223,-150.513,-64.636
1.745,-1.318,0.079,62.439,-140.991,-52.612
1.816,-1.295,0.023,77.332,-129.700,-46.570
1.815,-1.301,-0.025,91.858,-122.009,-47.363
1.925,-1.360,-0.059,103.760,-116.211,-50.476
2.084,-1.333,-0.023,116.333,-113.403,-42.603
2.230,-1.252,0.105,123.779,-115.417,-20.020
2.376,-1.077,0.323,128.235,-120.361,5.066
2.437,-0.830,0.562,139.526,-120.239,26.123
2.388,-0.578,0.712,153.809,-109.558,44.006
2.282,-0.333,0.778,165.161,-92.957,57.861
2.167,-0.116,0.786,172.424,-74.890,69.031
2.036,0.109,0.804,171.631,-54.443,75.378
1.917,0.303,0.826,165.527,-31.738,76.355
1.787,0.535,0.775,157.410,-14.587,78.552
1.708,0.803,0.737,141.113,-4.028,87.219
1.657,1.041,0.765,113.892,3.235,98.755
1.637,1.224,0.790,94.666,9.033,102.478
1.571,1.308,0.783,89.111,15.198,92.834
1.477,1.314,0.708,91.431,20.874,71.533
1.333,1.255,0.580,97.534,23.193,44.067
1.215,1.105,0.515,98.206,19.409,17.212
1.086,0.954,0.488,97.900,13.489,-2.686
0.981,0.859,0.461,95.215,8.118,-10.559
